name	session	legislatorID	wnom_stderr	wnom_adj	adj_mean
Flores	79	10025	0.1026	-0.638035521	-0.62348515
Flores	80	10025	0.0417	-0.498168028	-0.62348515
Flores	81	10025	0.0653	-0.766001645	-0.62348515
Flynn	78	9956	0.0691	0.865645124	0.943185032
Flynn	79	9956	0.052	0.739046783	0.943185032
Flynn	80	9956	0.0599	1.032050526	0.943185032
Flynn	81	9956	0.0298	1.135997696	0.943185032
Frost	79	49928	0.1058	-0.518992692	-0.464377794
Frost	80	49928	0.0396	-0.459400886	-0.464377794
Frost	81	49928	0.1311	-0.414739804	-0.464377794
Gallego	72	5505	0.09	-0.6335	-0.627623057
Gallego	73	5505	0.0856	-0.516228378	-0.627623057
Gallego	74	5505	0.0756	-0.384078647	-0.627623057
Gallego	75	5505	0.0959	-0.61958681	-0.627623057
Gallego	76	5505	0.0822	-0.460376012	-0.627623057
Gallego	77	5505	0.1117	-0.504074282	-0.627623057
Gallego	78	5505	0.0602	-0.767512847	-0.627623057
Gallego	79	5505	0.0907	-0.769079067	-0.627623057
Gallego	80	5505	0.0408	-0.821187413	-0.627623057
Gallego	81	5505	0.0602	-0.80060712	-0.627623057
Gattis	78	49636	0.0797	0.709907668	0.683512567
Gattis	79	49636	0.0518	0.667792525	0.683512567
Gattis	80	49636	0.0701	0.570095484	0.683512567
Gattis	81	49636	0.1238	0.78625459	0.683512567
Geren	77	49376	0.0847	0.31156495	0.294514581
Geren	78	49376	0.1205	0.224995551	0.294514581
Geren	79	49376	0.0537	0.106866143	0.294514581
Geren	80	49376	0.0622	0.17339445	0.294514581
Geren	81	49376	0.1518	0.655751812	0.294514581
Giddings	73	5506	0.0907	-0.741210137	-0.694813785
Giddings	74	5506	0.0779	-0.784935904	-0.694813785
Giddings	75	5506	0.1137	-0.850136363	-0.694813785
Giddings	76	5506	0.0874	-0.786479413	-0.694813785
Giddings	77	5506	0.1222	-0.621271051	-0.694813785
Giddings	78	5506	0.0538	-0.632221654	-0.694813785
Giddings	79	5506	0.1055	-0.568817098	-0.694813785
Giddings	80	5506	0.0389	-0.501057504	-0.694813785
Giddings	81	5506	0.0676	-0.767194937	-0.694813785
Gonzales	79	49985	0.0727	-0.881907239	-0.803803229
Gonzales	80	49985	0.0384	-0.737031412	-0.803803229
Gonzales	81	49985	0.0626	-0.792471037	-0.803803229
GonzalezToureilles	79	49820	0.0973	-0.7062896	-0.778517682
GonzalezToureilles	80	49820	0.0395	-0.814445301	-0.778517682
GonzalezToureilles	81	49820	0.0632	-0.814818146	-0.778517682
Guillen	78	49248	0.0592	-0.733537464	-0.521297852
Guillen	79	49248	0.1086	-0.448917075	-0.521297852
Guillen	80	49248	0.0411	-0.319742859	-0.521297852
Guillen	81	49248	0.0969	-0.582994009	-0.521297852
GutierrezR	81	106951	0.0598	-0.841938424	-0.841938424
Hamilton	78	50043	0.1196	0.218892189	0.264827689
Hamilton	79	50043	0.0572	0.073757021	0.264827689
Hamilton	80	50043	0.0644	0.245751755	0.264827689
Hamilton	81	50043	0.1749	0.52090979	0.264827689
Hancock	80	59194	0.0639	0.682544274	0.808437791
Hancock	81	59194	0.0853	0.934331308	0.808437791
Hardcastle	76	25403	0.0706	0.359491535	0.452904188
